date,offset,size
2020-06-01,77,4736826
2020-06-02,4736903,5081093
2020-06-03,9817996,4487612
2020-06-04,14305608,3763137
2020-06-05,18068745,4590592
2020-06-06,22659337,4570347
2020-06-07,27229684,5824956
2020-06-08,33054640,4568689
2020-06-09,37623329,5009201
2020-06-10,42632530,5416267
2020-06-11,48048797,5305768
2020-06-12,53354565,4800759
2020-06-13,58155324,5092678
2020-06-14,63248002,5358511
2020-06-15,68606513,5219110
2020-06-16,73825623,4673332
2020-06-17,78498955,5490423
2020-06-18,83989378,4766744
2020-06-19,88756122,4497426
2020-06-20,93253548,5212292
2020-06-21,98465840,5146703
2020-06-22,103612543,5659066
2020-06-23,109271609,6141861
2020-06-24,115413470,6562760
2020-06-25,121976230,7858931
2020-06-26,129835161,6750666
2020-06-27,136585827,6821871
2020-06-28,143407698,7197983
2020-06-29,150605681,7797916
2020-06-30,158403597,6244871
